City,Country,Latitude,Longitude,Max Temp (f),Humidity (%),Cloud Cover (%),Wind Speed (mph)
Rafrāf,TN,37.1904,10.1837,57.51,81,100,6.31
Brejo Santo,BR,-7.4933,-38.9872,75.43,64,78,3.62
Florø,NO,61.5996,5.0328,48.9,87,75,26.46
Handan,CN,36.6006,114.4678,56.26,39,18,11.21
Santa Cruz de la Sierra,BO,-17.8,-63.1667,69.26,94,90,14.97
NEDJO,ET,9.5046,35.5019,64.96,71,58,2.13
Camaná,PE,-16.6228,-72.7111,64.08,82,96,6.93
Gorontalo,ID,0.5412,123.0595,85.89,67,100,3.4
Los Llanos de Aridane,ES,28.6585,-17.9182,64.15,75,75,5.01
The Valley,AI,18.217,-63.0578,81.1,73,31,21.36
Abhā,SA,18.2164,42.5053,61.05,51,0,5.75
Narsaq,GL,60.9167,-46.05,8.82,73,2,5.17
Zhangjiakou,CN,40.81,114.8794,37.15,57,24,1.16
San Patricio,US,28.017,-97.5169,73.24,78,0,7.61
Mwanza,TZ,-2.5167,32.9,77.05,57,40,5.75
Serebryansk,KZ,49.6925,83.2892,35.15,81,100,11.1
Tehri,IN,30.3833,78.4833,70.34,39,0,4.18
Nynäshamn,SE,58.9034,17.9479,37.94,82,78,10.96
Mizhhirya,UA,48.5246,23.5056,32.09,77,58,4.88
Bålsta,SE,59.5671,17.5278,39.0,92,77,7.25
Cabra,ES,37.4725,-4.4421,54.66,59,0,7.0
Culpeper,US,38.5004,-77.9664,42.78,77,1,1.99
Araouane,ML,18.9048,-3.5265,76.53,22,97,8.97
Salalah,OM,17.0151,54.0924,80.69,50,0,1.14
Coahuayana Viejo,MX,18.7333,-103.6833,73.22,71,33,4.72
Barstow,US,34.8986,-117.0228,68.31,24,6,1.36
Brandfort,ZA,-28.7001,26.4597,73.45,45,65,13.06
Puerto Escondido,MX,15.85,-97.0667,76.35,63,51,4.18
Deputatsky,RU,69.3,139.9,-5.33,97,100,2.39
Launceston,AU,-41.45,147.1667,54.61,49,75,5.01
Yangjiang,CN,21.85,111.9667,76.95,58,98,8.14
Chitipa,MW,-9.7024,33.2697,79.3,40,5,8.14
Matara,LK,5.9485,80.5353,82.69,79,31,14.41
Ushtobe,KZ,45.2514,77.9838,40.5,52,98,23.04
Bull Savanna,JM,17.8868,-77.5902,74.61,84,100,4.56
Tashtagol,RU,52.7657,87.8894,32.07,93,100,4.18
Ambon City,ID,-3.6954,128.1814,82.53,72,91,4.21
Sola,VU,-13.8833,167.55,82.2,74,99,12.71
Muaná,BR,-1.5283,-49.2167,75.85,90,100,4.94
Sandpoint,US,48.2766,-116.5533,58.55,74,90,8.01
Lakatoro,VU,-16.0999,167.4164,82.54,74,40,9.89
Springbok,ZA,-29.6643,17.8865,77.9,22,55,4.36
Ban Tak,TH,17.0432,99.0813,84.94,68,51,4.29
Atar,MR,20.5169,-13.0499,77.11,34,77,6.55
Sinjār,IQ,36.3209,41.8754,62.56,26,100,3.65
San Quintín,MX,30.4833,-115.95,66.94,49,0,3.74
Iqaluit,CA,63.7506,-68.5145,11.93,85,75,4.61
Krasnyy Chikoy,RU,50.3643,108.7512,36.09,38,57,1.25
Saraland,US,30.8207,-88.0706,50.02,83,0,3.98
Hokitika,NZ,-42.7167,170.9667,56.71,90,100,18.81
Yazoo City,US,32.8551,-90.4056,49.75,70,1,5.64
Kuusamo,FI,65.9667,29.1833,19.44,79,0,9.22
Bariloche,AR,-41.1456,-71.3082,35.35,87,40,4.61
Duiwelskloof,ZA,-23.6934,30.14,65.95,93,100,4.76
Contamana,PE,-7.3333,-75.0167,74.7,80,66,2.77
Luwuk,ID,-0.9516,122.7875,85.42,70,100,2.77
Bud,US,39.447,-86.1758,35.69,80,10,12.03
Naryan-Mar,RU,67.6713,53.087,21.45,85,99,13.04
Mandalī,IQ,33.7499,45.5541,68.79,26,100,6.2
Ozinki,RU,51.1786,49.6769,31.73,93,100,4.81
Phalombe,MW,-15.8064,35.6507,81.55,51,69,4.92
Bosaso,SO,11.2842,49.1816,78.78,83,0,0.0
Lewiston,US,44.1003,-70.2148,44.38,91,75,4.61
Stornoway,GB,58.2093,-6.3865,44.92,93,70,6.91
Batagay,RU,67.6333,134.6333,-19.7,98,99,0.92
Abay,KZ,49.6311,72.8539,26.98,83,100,18.88
Vestmannaeyjar,IS,63.4427,-20.2734,42.17,88,91,22.86
Kotagiri,IN,11.4333,76.8833,64.47,83,89,3.33
Homer,US,59.6425,-151.5483,16.77,75,1,3.44
Port Augusta,AU,-32.5,137.7667,64.71,46,26,20.74
Texarkana,US,33.4251,-94.0477,50.23,84,1,1.01
Shache,CN,38.4167,77.2406,45.82,25,0,0.51
Dzilam González,MX,21.2833,-88.9333,68.83,76,1,5.32
Japura,ID,-0.3167,102.35,92.12,49,99,1.48
Kamaishi,JP,39.2667,141.8833,54.55,62,70,5.93
Likasi,CD,-10.9814,26.7333,71.02,67,89,5.21
Dongsheng,CN,39.8161,109.9776,38.46,30,1,6.29
Half Moon Bay,US,37.4636,-122.4286,64.72,83,1,0.0
Cotonou,BJ,6.3654,2.4183,80.58,89,40,3.44
Tonantins,BR,-2.8731,-67.8022,73.11,99,100,1.25
Vardø,NO,70.3705,31.1107,26.8,70,100,24.96
Kushiro,JP,42.975,144.3747,50.95,40,20,13.8
Chapais,CA,49.7834,-74.8492,26.38,95,80,2.42
Algiers,DZ,36.7525,3.042,53.42,88,75,4.61
Chongwe,ZM,-15.3292,28.682,79.72,45,21,9.33
Sambava,MG,-14.2667,50.1667,81.57,64,1,8.16
Dunda,TZ,-8.1167,34.25,78.24,46,60,4.76
Ijuí,BR,-28.3878,-53.9147,73.42,60,100,7.78
Winnemucca,US,40.973,-117.7357,44.65,70,1,0.0
Mokshan,RU,53.4365,44.6132,32.2,88,100,13.76
Karibib,NA,-21.9333,15.8333,81.07,22,41,2.17
Khani,GE,41.9563,42.9566,38.77,52,100,1.03
Marsh Harbour,BS,26.5412,-77.0636,75.7,73,100,10.16
Namatanai,PG,-3.6667,152.4333,83.86,72,83,8.75
Korla,CN,41.7597,86.1469,40.3,32,59,7.27
Cabo San Lucas,MX,22.8909,-109.9124,79.52,43,7,3.04
Ciudad Valles,MX,21.9833,-99.0167,66.0,92,5,1.66
Port Lincoln,AU,-34.7333,135.8667,58.19,59,96,15.48
Atherton,GB,53.5237,-2.4935,49.42,95,77,3.0
Behshahr,IR,36.6923,53.5526,48.15,56,2,4.65
Agüimes,ES,27.9054,-15.4461,61.43,73,20,6.91
Ayan,RU,56.45,138.1667,13.69,64,100,17.27
Nichinan,JP,31.6,131.3667,67.15,48,45,1.63
Sal Rei,CV,16.1833,-22.9167,72.16,72,95,8.12
Doumé,CM,4.2333,13.45,70.32,95,100,1.16
Weihai,CN,37.5017,122.1136,54.84,55,93,5.5
Saint Lawrence,MT,36.0553,14.204,58.41,72,0,9.62
Paamiut,GL,61.994,-49.6678,8.02,74,0,8.77
Lambaréné,GA,-0.7001,10.2406,73.36,93,79,1.34
Wānkāner,IN,22.6167,70.9333,84.65,20,74,9.57
Kamiiso,JP,41.8167,140.65,46.78,81,75,10.36
Taldan,RU,53.6667,124.8,23.49,47,85,5.26
Naze,JP,28.3667,129.4833,68.92,54,72,13.62
Caucayá,CO,-0.1934,-74.7819,71.33,99,95,2.35
Madurai,IN,9.9333,78.1167,87.82,66,40,3.44
La Grande,US,45.3246,-118.0877,57.06,69,96,8.81
Nouadhibou,MR,20.931,-17.0347,69.78,68,97,6.91
Oistins,BB,13.0667,-59.5333,78.89,78,40,21.85
Amberley,US,39.2048,-84.428,35.69,76,20,4.0
