City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Ekuvukeni,ZA,-28.4675,30.1551,72.25,58,64,1.59,11/15/21
Cidreira,BR,-30.1811,-50.2056,67.62,90,100,16.49,11/15/21
Barcelos,PT,41.5388,-8.6151,49.28,67,0,5.1,11/15/21
Tambopata,PE,-12.7333,-69.1833,76.53,80,84,2.3,11/15/21
Dali,CN,25.7,100.1833,65.84,39,3,8.1,11/15/21
Qarqīn,AF,37.4185,66.0436,56.17,49,0,14.32,11/15/21
Tarboro,US,35.8968,-77.5358,44.98,100,1,3.44,11/15/21
Puerto Nariño,CO,-3.7703,-70.3831,75.15,99,100,2.15,11/15/21
Yārāda,IN,17.65,83.2667,86.32,74,40,8.05,11/15/21
Kokstad,ZA,-30.5472,29.4241,69.62,53,96,2.66,11/15/21
Nouakchott,MR,18.0858,-15.9785,71.53,59,81,10.45,11/15/21
Lake Havasu City,US,34.4839,-114.3224,72.07,23,1,1.99,11/15/21
La Ronge,CA,55.1001,-105.2842,30.42,93,90,2.3,11/15/21
Banda Aceh,ID,5.5577,95.3222,85.14,67,81,11.01,11/15/21
Bundaberg,AU,-24.85,152.35,82.22,65,0,10.0,11/15/21
Mushie,CD,-3.0167,16.9,74.62,82,71,1.79,11/15/21
San Policarpo,PH,12.1791,125.5072,82.27,82,99,8.55,11/15/21
Saint-Pierre,RE,-21.3393,55.4781,84.56,65,0,8.05,11/15/21
Vao,NC,-22.6667,167.4833,77.18,77,76,11.56,11/15/21
Empório,GR,40.4833,21.55,46.76,91,100,2.59,11/15/21
Ilulissat,GL,69.2167,-51.1,12.22,67,20,13.8,11/15/21
Karatuzskoye,RU,53.6072,92.8667,35.01,84,100,5.48,11/15/21
Viranşehir,TR,37.2353,39.7631,60.08,25,100,0.74,11/15/21
Osakarovka,KZ,50.565,72.5692,24.42,89,100,17.09,11/15/21
Kirakira,SB,-10.4544,161.9205,83.5,74,70,8.01,11/15/21
Soyo,AO,-6.1349,12.3689,78.08,86,100,8.52,11/15/21
Sitia,GR,35.2,26.0986,64.98,77,97,7.54,11/15/21
Raahe,FI,64.6833,24.4833,28.0,76,100,16.89,11/15/21
Campbell River,CA,50.0163,-125.2446,45.27,98,100,2.57,11/15/21
Araouane,ML,18.9048,-3.5265,76.53,22,97,8.97,11/15/21
Teguise,ES,29.0605,-13.564,59.22,77,0,6.91,11/15/21
Tromsø,NO,69.6496,18.957,35.62,93,75,8.01,11/15/21
Rio Grande,BR,-32.035,-52.0986,68.95,91,99,7.94,11/15/21
Bay Roberts,CA,47.5999,-53.2648,48.33,86,98,13.0,11/15/21
Zelenoborskiy,RU,66.845,32.3622,25.97,67,97,12.1,11/15/21
Kruisfontein,ZA,-34.0033,24.7314,74.07,43,100,2.53,11/15/21
Basco,PH,20.4487,121.9702,78.55,77,93,27.22,11/15/21
Mackenzie,CA,55.2999,-123.1698,28.17,97,99,2.46,11/15/21
Mariakani,KE,-3.8633,39.4736,80.69,64,85,7.99,11/15/21
Kota Tinggi,MY,1.7381,103.8999,87.89,78,88,1.88,11/15/21
Sehithwa,BW,-20.4667,22.7167,85.28,31,11,4.23,11/15/21
Ouagadougou,BF,12.3642,-1.5383,76.62,22,96,5.84,11/15/21
Balsas,BR,-7.5325,-46.0356,72.18,94,97,1.41,11/15/21
Port Augusta,AU,-32.5,137.7667,64.71,46,26,20.74,11/15/21
Banjar,ID,-8.19,114.9675,84.06,90,100,3.56,11/15/21
Tocopilla,CL,-22.092,-70.1979,60.8,78,62,0.69,11/15/21
Tokur,RU,53.1333,132.9,8.33,87,99,5.88,11/15/21
Udachny,RU,66.4167,112.4,-13.58,99,55,4.45,11/15/21
Yorosso,ML,12.3536,-4.7761,71.17,24,55,5.68,11/15/21
Fort Nelson,CA,58.8053,-122.7002,11.79,85,90,2.3,11/15/21
Petrovskoye,RU,57.0104,39.2693,26.91,90,91,12.24,11/15/21
Kushima,JP,31.4583,131.2333,67.12,43,53,0.34,11/15/21
Muroto-misakicho,JP,33.2833,134.15,63.18,52,0,4.18,11/15/21
Honningsvåg,NO,70.9821,25.9704,31.75,74,75,19.57,11/15/21
Gorzów Wielkopolski,PL,52.7368,15.2288,35.24,96,7,7.58,11/15/21
Atar,MR,20.5169,-13.0499,77.11,34,77,6.55,11/15/21
Strezhevoy,RU,60.7333,77.5889,-0.42,89,80,2.53,11/15/21
Touros,BR,-5.1989,-35.4608,77.9,79,15,12.3,11/15/21
Palauig,PH,15.435,119.9045,85.75,71,43,7.94,11/15/21
Nishihara,JP,26.1842,127.7558,74.86,49,40,10.36,11/15/21
Nhulunbuy,AU,-12.2333,136.7667,88.41,48,0,16.11,11/15/21
Bilibino,RU,68.0546,166.4372,5.68,97,98,4.05,11/15/21
Valley Station,US,38.1112,-85.8702,38.05,66,90,4.0,11/15/21
Yambio,SS,4.5721,28.3955,74.3,83,43,4.54,11/15/21
Kemijärvi,FI,66.7131,27.4306,26.26,81,100,14.7,11/15/21
Korla,CN,41.7597,86.1469,40.3,32,59,7.27,11/15/21
La Ciotat,FR,43.1748,5.6045,53.82,92,100,8.32,11/15/21
Cockburn Town,TC,21.4612,-71.1419,82.22,74,89,14.83,11/15/21
Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,43,0,20.71,11/15/21
Dourbali,TD,11.8091,15.8632,79.81,17,12,10.04,11/15/21
Bagru,IN,26.8088,75.5423,77.34,25,0,3.74,11/15/21
Isiro,CD,2.7739,27.616,69.84,95,85,1.81,11/15/21
Aksu,CN,41.1231,80.2644,41.27,36,97,0.51,11/15/21
Atkinson,US,42.8384,-71.147,44.31,88,90,3.44,11/15/21
Karmāla,IN,18.4167,75.2,86.4,48,81,10.6,11/15/21
Ferme-Neuve,CA,46.7001,-75.4493,33.46,99,100,3.51,11/15/21
Berlevåg,NO,70.8578,29.0864,24.75,74,0,13.8,11/15/21
Mount Isa,AU,-20.7333,139.5,85.77,13,0,12.66,11/15/21
Moerai,PF,-22.4333,-151.3333,72.37,86,100,11.79,11/15/21
Gillette,US,44.2911,-105.5022,55.06,45,1,13.0,11/15/21
Nassau,US,40.7507,-73.5829,44.65,69,1,5.75,11/15/21
Lodwar,KE,3.1191,35.5973,86.5,43,62,21.47,11/15/21
Sur,OM,22.5667,59.5289,82.31,44,0,12.03,11/15/21
Albanel,CA,48.8832,-72.4487,31.55,78,100,1.92,11/15/21
Diapaga,BF,12.0708,1.7889,77.04,29,82,3.02,11/15/21
College,US,64.8569,-147.8028,-6.72,78,75,3.44,11/15/21
Belmonte,BR,-15.8631,-38.8828,68.5,91,100,12.01,11/15/21
Mnogovershinnyy,RU,53.9353,139.9242,17.29,81,100,12.84,11/15/21
Betioky,MG,-23.7167,44.3833,87.22,36,47,5.55,11/15/21
Porbandar,IN,21.6422,69.6093,83.79,30,86,11.14,11/15/21
Merauke,ID,-8.4667,140.3333,84.4,75,99,9.24,11/15/21
Quimper,FR,48.0,-4.1,52.38,87,0,4.61,11/15/21
Havelock,US,34.8791,-76.9013,55.94,82,7,3.0,11/15/21
Salalah,OM,17.0151,54.0924,86.09,37,0,2.3,11/15/21
Panjakent,TJ,39.4952,67.6093,42.6,57,27,3.6,11/15/21
Porto-Novo,BJ,6.4965,2.6036,78.62,85,92,5.35,11/15/21
Broome,US,42.2506,-75.833,38.19,84,90,1.01,11/15/21
Henties Bay,NA,-22.116,14.2845,60.85,79,93,9.42,11/15/21
Markova,UA,48.6758,24.4138,33.39,90,69,1.79,11/15/21
Huilong,CN,31.8111,121.655,69.98,39,43,6.31,11/15/21
Tautira,PF,-17.7333,-149.15,80.62,74,100,2.57,11/15/21
Tezu,IN,27.9167,96.1667,79.54,32,7,3.67,11/15/21
Los Llanos de Aridane,ES,28.6585,-17.9182,64.15,75,75,8.01,11/15/21
Manoel Urbano,BR,-8.8389,-69.2597,74.82,88,94,2.86,11/15/21
Monte Patria,CL,-30.6919,-70.9467,62.69,49,0,0.92,11/15/21
Portland,US,45.5234,-122.6762,61.9,86,90,3.0,11/15/21
Nizhniy Kuranakh,RU,58.8353,125.4869,12.81,92,97,2.55,11/15/21
Byron Bay,AU,-28.65,153.6167,87.75,37,0,6.13,11/15/21
Fastiv,UA,50.0767,29.9177,40.71,72,100,7.45,11/15/21
Obukhiv,UA,50.11,30.6227,41.49,72,100,9.31,11/15/21
Katherine,AU,-14.4667,132.2667,91.72,15,100,12.66,11/15/21
Lékoni,GA,-1.5843,14.2591,72.55,88,22,3.62,11/15/21
Amga,RU,60.8953,131.9608,-6.88,98,68,1.48,11/15/21
Yovon,TJ,38.3141,69.0378,49.68,55,64,3.27,11/15/21
Bobrovka,RU,54.047,61.7455,14.99,81,37,3.11,11/15/21
Boddam,GB,57.4667,-1.7833,50.38,92,100,2.95,11/15/21
Garhi Khairo,PK,28.0606,67.9803,83.1,9,0,5.64,11/15/21
Grand Gaube,MU,-20.0064,57.6608,81.37,66,74,8.99,11/15/21
Canutama,BR,-6.5339,-64.3831,74.39,95,90,1.39,11/15/21
Dongying,CN,37.4564,118.4856,57.24,47,100,9.73,11/15/21
Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.08,81,59,11.43,11/15/21
Roald,NO,62.5833,6.1333,50.92,62,75,13.8,11/15/21
Vilhena,BR,-12.7406,-60.1458,68.85,99,99,2.28,11/15/21
La Maddalena,IT,41.2142,9.4083,51.85,79,68,10.02,11/15/21
Bariloche,AR,-41.1456,-71.3082,35.35,87,75,5.75,11/15/21
Myanaung,MM,18.2833,95.3167,87.22,65,24,2.3,11/15/21
Lorengau,PG,-2.0226,147.2712,84.7,66,83,6.31,11/15/21
Niamey,NE,13.5137,2.1098,82.38,19,100,9.15,11/15/21
Aykhal,RU,66.0,111.5,-8.52,100,100,5.88,11/15/21
Winburg,ZA,-28.518,27.0093,71.82,47,33,11.52,11/15/21
Ailigandí,PA,9.2333,-78.0167,78.26,87,98,4.61,11/15/21
Upernavik,GL,72.7868,-56.1549,-0.54,75,4,7.2,11/15/21
Uyemskiy,RU,64.4743,40.8524,15.85,92,40,2.24,11/15/21
Totness,SR,5.8833,-56.3167,76.51,90,72,9.01,11/15/21
Kysyl-Syr,RU,63.8986,122.7617,-2.61,98,88,3.71,11/15/21
Luau,AO,-10.7073,22.2247,69.22,79,100,4.09,11/15/21
Dalianwan,CN,39.0286,121.695,52.74,37,0,2.24,11/15/21
Murray,US,40.6669,-111.888,58.28,53,1,1.99,11/15/21
Kiryat Gat,IL,31.61,34.7642,73.9,31,48,3.44,11/15/21
Asău,RO,46.4333,26.4,44.96,72,92,3.98,11/15/21
Zhuhai,CN,22.2769,113.5678,80.96,60,0,9.22,11/15/21
Río Gallegos,AR,-51.6226,-69.2181,40.37,54,92,32.82,11/15/21
Kiruna,SE,67.8557,20.2251,25.72,86,0,20.71,11/15/21
Eyl,SO,7.9803,49.8164,81.77,54,78,9.31,11/15/21
Pālkonda,IN,18.6,83.75,85.69,68,57,4.41,11/15/21
Chiredzi,ZW,-21.05,31.6667,75.42,75,77,10.07,11/15/21
Cukai,MY,4.25,103.4167,86.81,62,53,6.44,11/15/21
Khilok,RU,51.3674,110.4676,33.06,47,88,3.04,11/15/21
Farnes,NO,61.3167,7.8,32.88,84,99,4.12,11/15/21
Ayagoz,KZ,47.9714,80.4392,30.76,93,99,26.31,11/15/21
Gizo Government Station,SB,-8.103,156.8419,84.69,69,82,5.26,11/15/21
Camacha,PT,33.0833,-16.3333,63.36,72,20,4.61,11/15/21
Rāmānuj Ganj,IN,23.8,83.7,78.3,58,6,6.13,11/15/21
Avera,US,33.194,-82.5271,49.71,64,0,8.84,11/15/21
Kloulklubed,PW,7.0419,134.2556,82.9,70,50,7.02,11/15/21
Bulgan,MN,48.8125,103.5347,34.9,35,66,3.4,11/15/21
Paamiut,GL,61.994,-49.6678,8.02,74,0,8.77,11/15/21
Shache,CN,38.4167,77.2406,45.82,25,0,0.51,11/15/21
Rome,US,43.2128,-75.4557,37.54,94,90,4.61,11/15/21
Gritsovskiy,RU,54.1376,38.1604,28.92,79,73,16.33,11/15/21
Itarema,BR,-2.9248,-39.9167,79.09,81,53,12.53,11/15/21
Horta,PT,38.5333,-28.6333,66.79,85,77,18.5,11/15/21
Raudeberg,NO,61.9875,5.1352,49.78,89,100,10.0,11/15/21
Deputatsky,RU,69.3,139.9,-5.33,97,100,2.39,11/15/21
Afuá,BR,-0.1567,-50.3867,75.99,91,92,4.99,11/15/21
Birjand,IR,32.8663,59.2211,54.59,22,7,2.55,11/15/21
Blagoyevo,RU,63.3667,47.9167,18.32,87,14,6.13,11/15/21
Lincoln,US,40.8,-96.667,47.17,69,40,3.0,11/15/21
Buala,SB,-8.145,159.5921,83.91,72,78,5.73,11/15/21
Kalispell,US,48.1958,-114.3129,55.29,69,90,1.99,11/15/21
Dobryanka,RU,58.4619,56.4165,13.86,83,100,5.59,11/15/21
Dalby,AU,-27.1833,151.2667,78.33,20,0,14.65,11/15/21
Magadan,RU,59.5667,150.8,29.53,86,100,4.29,11/15/21
Leon Valley,US,29.4952,-98.6186,64.67,85,1,3.0,11/15/21
Imbituba,BR,-28.24,-48.6703,71.49,91,97,13.18,11/15/21
Oistins,BB,13.0667,-59.5333,78.89,78,20,20.71,11/15/21
Russell,US,32.3502,-85.1999,47.43,80,1,3.44,11/15/21
Haines Junction,CA,60.7522,-137.5108,8.22,90,74,2.75,11/15/21
Jardim,BR,-21.4803,-56.1381,70.63,94,100,5.66,11/15/21
Hualmay,PE,-11.0964,-77.6139,62.56,87,82,7.56,11/15/21
Lokoja,NG,7.8024,6.743,75.2,90,52,2.8,11/15/21
Kiama,AU,-34.6833,150.8667,69.26,41,30,20.69,11/15/21
Olafsvik,IS,64.8945,-23.7142,40.15,67,98,36.08,11/15/21
Nieves,PH,15.3274,120.9485,90.48,54,67,5.68,11/15/21
Hofn,IS,64.2539,-15.2082,41.99,79,14,29.75,11/15/21
Hay River,CA,60.8156,-115.7999,13.68,92,99,7.38,11/15/21
Kumul,CN,42.8,93.45,40.78,31,43,2.57,11/15/21
Baft,IR,29.234,56.6057,52.2,25,0,2.93,11/15/21
Manjeshwar,IN,12.7194,74.8861,83.35,88,100,5.88,11/15/21
Togur,RU,58.3631,82.8265,14.38,89,100,8.9,11/15/21
Ngunguru,NZ,-35.6167,174.5,70.16,62,0,11.3,11/15/21
Chingirlau,KZ,51.095,54.0814,25.74,69,100,6.76,11/15/21
Narganá,PA,9.4428,-78.5906,79.14,85,87,4.27,11/15/21
